Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
1,Abner,br BRA,DF,Betis,22,2000,6.7,Matches,2,0,0,8,2,0,13,8,9,0,1,0,43,9,16,36.0,0,5,1,20.0,0.74,0.15,0.00,0.00,13.6,0,0,0,1.7,1.7,0.34,-1.7,-1.7,252,351,71.8,3886,1578,130,149,87.2,94,134,70.1,16,42,38.1,0,0.1,0.5,-0.1,2,18,3,1,16,275,75,1,0,2,74,0,0,0,0,1,15,8,1.18,5,1,1,2,0,0,1,0.15,1,0,0,0,0,0,12,9,2,1,7,10,43.8,9,8,6,20,24,0,425,25,128,189,113,11,425,3,30.0,7,70.0,203,854,469,8,7,4,10,4,232,25
2,Álvaro Aceves,es ESP,GK,Valladolid,19,2003,0.1,Matches,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,7,8,87.5,151,113,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,6,8,0,0,0,8,0,,0,,8,42,34,0,0,0,0,0,2,0
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,21.2,Matches,10,3,0,32,34,1,147,23,36,0,1,0,141,30,18,62.5,3,21,5,23.8,0.99,0.24,0.14,0.60,25.6,1,0,0,1.2,1.2,0.06,+1.8,+1.8,970,1307,74.2,18018,6997,446,499,89.4,380,491,77.4,128,260,49.2,2,4.3,5.7,-2.3,38,71,38,19,102,1048,257,49,3,14,174,34,7,22,0,2,25,65,3.04,45,14,3,5,0,0,4,0.19,4,0,0,0,0,0,57,34,17,6,30,54,71.4,12,16,11,80,36,0,1523,69,406,670,467,26,1523,26,48.1,23,42.6,823,4070,2178,49,43,5,29,20,903,94
4,Julen Agirrezabala,es ESP,GK,Athletic Club,21,2000,7.5,Matches,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,100.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,171,241,71.0,4890,3600,29,29,100.0,91,94,96.8,51,118,43.2,0,0.0,0.0,0.0,0,2,0,0,0,169,72,10,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,253,203,249,4,0,0,253,0,,0,,150,804,551,0,0,0,0,0,105,0
5,Álvaro Aguado,es ESP,MF,Valladolid,26,1996,21.0,Matches,4,0,0,13,33,0,57,13,15,0,1,0,130,15,17,46.9,1,20,6,30.0,0.95,0.29,0.05,0.17,24.6,1,0,0,1.0,1.0,0.05,0.0,0.0,930,1142,81.4,18906,5096,359,404,88.9,371,429,86.5,174,246,70.7,2,2.2,2.0,-0.2,35,111,11,2,139,1040,95,50,3,39,5,35,3,24,0,7,17,76,3.62,56,13,3,4,4,0,4,0.19,2,2,0,0,0,0,27,13,11,3,15,31,60.0,10,16,12,40,15,0,1292,36,255,742,315,18,1292,13,41.9,9,29.0,833,5476,2508,29,43,3,24,9,908,50
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,34.7,Matches,6,1,1,18,18,0,2,31,36,0,1,0,214,63,63,50.0,3,14,3,21.4,0.40,0.09,0.21,1.00,13.2,0,0,0,1.0,1.0,0.07,+2.0,+2.0,1525,1766,86.4,31337,9650,383,439,87.2,974,1050,92.8,163,244,66.8,0,0.1,0.3,-0.1,2,83,4,0,95,1710,51,42,0,5,8,0,0,0,0,5,13,10,0.29,8,0,0,14,0,1,0,0.00,0,0,0,0,0,0,51,33,17,1,16,13,57.1,12,26,12,82,150,0,2082,301,1114,938,46,15,2082,8,61.5,2,15.4,1306,6192,3226,15,6,0,12,9,1321,2
7,Sergio Akieme,es ESP,DF,Almería,24,1997,25.5,Matches,5,0,0,20,18,0,70,14,16,0,0,0,127,14,15,48.3,1,23,7,30.4,0.90,0.27,0.04,0.14,20.2,0,0,0,1.5,1.5,0.07,-0.5,-0.5,821,1061,77.4,13314,5012,430,485,88.7,315,386,81.6,52,128,40.6,0,2.0,2.2,-2.0,21,43,22,17,58,824,230,25,3,13,205,0,0,0,0,7,20,36,1.41,29,1,1,6,0,2,3,0.12,2,0,1,0,0,0,27,19,6,2,12,51,54.5,10,22,16,41,41,0,1283,78,434,563,307,35,1283,27,52.9,18,35.3,660,4200,2232,60,34,11,29,25,710,84
8,Babatunde Akinsola,ng NGA,FW,Valladolid,19,2003,0.1,Matches,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,8.18,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,0,4,0,1,2,1,0,4,0,,0,,4,29,14,1,1,0,2,1,5,3
9,Paul Akouokou,ci CIV,"MF,DF",Betis,24,1997,5.0,Matches,3,0,0,7,4,0,0,12,9,0,0,0,27,6,7,46.2,0,3,1,33.3,0.60,0.20,0.00,0.00,19.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,160,174,92.0,2670,645,71,73,97.3,66,69,95.7,14,18,77.8,0,0.0,0.1,0.0,0,13,1,0,10,168,4,2,1,2,2,0,0,0,0,2,3,2,0.40,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,16,13,3,0,13,5,65.0,7,2,0,28,17,1,233,33,102,117,16,1,233,3,60.0,2,40.0,116,369,122,1,2,0,5,0,136,1
10,David Alaba,at AUT,DF,Real Madrid,30,1992,20.4,Matches,3,0,0,9,3,0,26,14,11,0,1,0,94,11,8,57.9,1,14,3,21.4,0.69,0.15,0.07,0.33,19.8,5,0,0,0.8,0.8,0.06,+0.2,+0.2,1042,1189,87.6,15258,5475,601,626,96.0,340,388,87.6,53,99,53.5,3,1.1,1.3,+1.9,16,68,9,4,67,1082,98,45,4,3,46,3,3,0,0,9,11,27,1.32,23,3,0,9,0,0,4,0.20,3,0,0,1,0,0,15,8,4,3,9,4,60.0,6,18,9,29,37,1,1293,137,531,530,240,22,1293,3,75.0,1,25.0,779,3566,2070,16,24,2,7,5,938,60
