Rk,Player,Nation,Pos,Squad,Age,Born,90s,Matches,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Live,Dead,FK_dup,TB,Sw,TI,CK,In,Out,Str,Off_dup,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh_dup,Fld_dup,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,Tkl,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_dup,Tkl%,Lost_dup,Blocks_dup,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_dup,Mid 3rd_dup,Att 3rd_dup,Att Pen,Live_dup,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_dup,PrgDist_dup,PrgC,1/3_dup,CPA,Mis,Dis,Rec,PrgR
1,James Abankwah,ie IRL,DF,Udinese,18,2004,0.7,Matches,0,0,0,2,1,0,0,0,1,0,0,0,2,2,0,100.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,23,29,79.3,375,79,14,15,93.3,6,8,75.0,2,5,40.0,0,0.0,0.0,0.0,0,0,0,0,0,22,7,3,0,1,4,0,0,0,0,0,0,0,0.00,0,0,0,2,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,,0,4,2,1,5,0,39,8,26,13,0,0,39,1,100.0,0,0.0,18,48,19,0,0,0,1,1,21,0
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,26,1996,6.6,Matches,2,0,0,13,7,0,5,5,6,0,0,0,37,50,21,70.4,0,3,2,66.7,0.46,0.30,0.00,0.00,14.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,115,195,59.0,1943,930,58,85,68.2,41,71,57.7,13,27,48.1,0,0.4,0.3,-0.4,6,17,3,2,15,194,0,0,0,1,0,0,0,0,0,1,2,9,1.37,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,10,6,3,1,7,1,43.8,9,7,6,15,17,0,257,15,82,137,40,13,257,1,100.0,0,0.0,99,401,156,2,3,0,6,1,116,8
3,Tammy Abraham,eng ENG,FW,Roma,24,1997,24.3,Matches,2,0,0,33,48,11,11,3,10,1,0,0,46,80,74,51.9,8,62,28,45.2,2.55,1.15,0.13,0.29,12.0,0,0,0,10.8,10.8,0.17,-2.8,-2.8,342,513,66.7,4964,1248,198,260,76.2,102,163,62.6,24,36,66.7,3,3.7,2.8,-0.7,33,18,17,2,54,475,35,2,4,3,1,0,0,0,0,3,8,70,2.88,46,0,7,4,7,0,9,0.37,4,0,1,3,1,0,17,4,8,5,3,68,18.8,13,10,6,20,14,0,786,19,50,391,355,125,786,22,32.4,37,54.4,421,2154,856,35,20,16,62,31,621,141
4,Christian Acella,it ITA,MF,Cremonese,20,2002,0.2,Matches,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,9,9,100.0,129,4,5,5,100.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,0,0,0,0.0,2,0,0,1,0,0,11,0,1,9,1,0,11,0,,0,,7,19,7,0,0,0,1,0,8,0
5,Francesco Acerbi,it ITA,DF,Inter,34,1988,26.9,Matches,4,0,0,17,13,2,22,41,19,0,0,0,151,78,42,65.0,0,18,2,11.1,0.67,0.07,0.00,0.00,15.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0,1455,1644,88.5,27034,8090,545,594,91.8,737,802,91.9,149,202,73.8,2,1.1,1.2,+0.9,16,86,14,3,100,1546,93,41,1,10,21,0,0,0,0,5,4,37,1.37,34,1,0,18,0,0,1,0.04,1,0,0,0,0,0,33,22,7,4,20,12,74.1,7,25,7,74,85,2,1890,226,858,880,167,27,1890,7,58.3,4,33.3,1041,5108,2867,39,33,2,13,7,1252,32
6,Yacine Adli,fr FRA,"MF,FW",Milan,22,2000,1.6,Matches,1,0,0,4,1,1,6,1,3,0,0,0,8,1,3,25.0,0,2,2,100.0,1.25,1.25,0.00,0.00,18.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,49,76,64.5,931,308,21,28,75.0,17,24,70.8,9,16,56.3,0,0.3,0.2,-0.3,2,6,2,0,10,72,4,1,0,1,1,2,0,2,0,0,5,3,1.87,2,1,0,0,0,0,1,0.62,1,0,0,0,0,0,6,2,4,0,2,6,100.0,0,2,2,7,1,0,97,1,14,45,42,2,97,4,66.7,2,33.3,55,349,171,7,5,0,3,5,67,8
7,Michel Aebischer,ch SUI,"FW,MF",Bologna,25,1997,17.1,Matches,4,0,0,22,22,7,21,7,6,1,1,0,68,10,25,28.6,1,15,2,13.3,0.88,0.12,0.07,0.50,17.1,1,0,0,1.5,1.5,0.10,-0.5,-0.5,557,674,82.6,8050,2143,312,343,91.0,189,223,84.8,27,51,52.9,0,0.6,0.5,-0.6,15,37,7,1,46,641,30,10,0,3,13,4,1,3,0,3,16,35,2.04,25,3,2,2,2,1,3,0.18,1,0,0,1,1,0,12,3,6,3,2,13,10.5,17,14,12,19,9,0,791,14,147,400,246,28,791,6,46.2,7,53.8,505,1992,841,14,12,4,30,17,618,85
8,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,19,2003,9.1,Matches,4,0,0,18,11,6,4,1,3,0,0,0,39,17,42,28.8,0,21,2,9.5,2.31,0.22,0.00,0.00,18.7,0,0,0,1.9,1.9,0.09,-1.9,-1.9,146,193,75.6,1855,194,99,115,86.1,34,46,73.9,4,7,57.1,0,0.1,0.2,-0.1,3,3,0,0,8,185,8,2,0,1,5,0,0,0,0,0,4,15,1.65,10,0,1,1,0,0,1,0.11,0,0,0,1,0,0,7,4,1,2,2,25,20.0,8,5,4,8,6,0,318,7,40,129,156,28,318,7,28.0,12,48.0,202,1160,463,22,13,3,34,21,217,54
9,Kevin Agudelo,co COL,"MF,FW",Spezia,23,1998,23.7,Matches,5,0,0,34,35,2,34,10,38,0,0,0,140,17,27,38.6,0,28,7,25.0,1.18,0.30,0.00,0.00,21.4,0,0,0,1.5,1.5,0.05,-1.5,-1.5,531,735,72.2,7885,2631,295,349,84.5,173,226,76.5,30,54,55.6,1,3.0,2.6,-2.0,28,58,31,2,110,711,17,2,5,1,7,5,3,2,0,7,39,59,2.49,41,1,9,5,4,0,3,0.13,2,0,0,0,1,0,71,22,30,19,25,109,42.4,34,39,34,81,6,0,1085,11,168,500,457,54,1085,50,45.9,50,45.9,662,4963,2740,81,71,19,59,55,700,100
10,Ola Aina,ng NGA,DF,Torino,25,1996,9.7,Matches,5,0,0,16,16,1,35,11,13,0,1,0,62,12,10,54.5,1,8,3,37.5,0.82,0.31,0.13,0.33,15.2,0,0,0,0.8,0.8,0.10,+0.2,+0.2,402,544,73.9,6725,2554,210,232,90.5,130,173,75.1,48,93,51.6,1,2.1,1.9,-1.1,12,35,14,9,43,432,108,8,0,3,97,3,0,0,0,4,17,27,2.77,21,2,3,2,1,0,3,0.31,2,0,1,0,0,0,17,5,8,4,9,49,60.0,6,12,10,28,26,0,679,20,146,294,250,13,679,23,46.9,20,40.8,361,2268,1112,35,26,4,15,8,390,43
