Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,
1,Leverkusen,34,28,6,0,89,24,65,90,2.65,73.6,29.9,43.7,1.29,
2,Stuttgart,34,23,4,7,78,39,39,73,2.15,70.9,38.1,32.7,0.96,
3,Bayern Munich,34,23,3,8,94,45,49,72,2.12,85.2,32.1,53,1.56,
4,RB Leipzig,34,19,8,7,77,39,38,65,1.91,65.6,40.1,25.5,0.75,
5,Dortmund,34,18,9,7,68,43,25,63,1.85,63.5,52,11.5,0.34,
6,Eint Frankfurt,34,11,14,9,51,50,1,47,1.38,46.2,52.1,-5.9,-0.17,
7,Hoffenheim,34,13,7,14,66,66,0,46,1.35,53.6,60.8,-7.2,-0.21,
8,Heidenheim,34,10,12,12,50,55,-5,42,1.24,39.4,61.8,-22.5,-0.66,
9,Werder Bremen,34,11,9,14,48,54,-6,42,1.24,46.9,56.5,-9.6,-0.28,
10,Freiburg,34,11,9,14,45,58,-13,42,1.24,49.4,50.5,-1.1,-0.03,
11,Augsburg,34,10,9,15,50,60,-10,39,1.15,46.1,57.4,-11.3,-0.33,
12,Wolfsburg,34,10,7,17,41,56,-15,37,1.09,39.2,44.7,-5.5,-0.16,
13,Mainz 05,34,7,14,13,39,51,-12,35,1.03,44.6,44.5,0.2,0.01,
14,Gladbach,34,7,13,14,56,67,-11,34,1,46.5,54.2,-7.8,-0.23,
15,Union Berlin,34,9,6,19,33,58,-25,33,0.97,40.1,50.5,-10.4,-0.31,
16,Bochum,34,7,12,15,42,74,-32,33,0.97,44.5,63.9,-19.3,-0.57,
17,Köln,34,5,12,17,28,60,-32,27,0.79,39.3,64.6,-25.3,-0.74,
18,Darmstadt 98,34,3,8,23,30,86,-56,17,0.5,32.3,73.1,-40.8,-1.2,
