player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
1,Max Aarons,eng ENG,DF,Bournemouth,24,2000,1,Matches,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,50,63,79.4,887,361,21,25,84,24,29,82.8,4,7,57.1,0,0,0,0,0,8,0,0,8,51,12,2,0,0,10,0,0,0,0,0,1,2,2.09,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,100,0,3,2,3,0,0,73,2,19,40,15,0,73,0,0,1,50,41,152,68,1,0,0,1,0,40,3
2,Joshua Acheampong,eng ENG,DF,Chelsea,18,2006,1.9,Matches,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,0,2,0,0,1.06,0,0,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55,0,0,0,0,0,6,0,0,8,121,3,2,0,0,1,0,0,0,0,0,2,2,1.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,100,0,1,1,3,2,0,137,7,48,81,8,3,137,1,50,0,0,106,709,409,0,2,0,2,0,111,0
3,Tyler Adams,us USA,MF,Bournemouth,25,1999,21.8,Matches,7,0,0,45,21,0,3,32,50,0,1,0,114,31,18,63.3,0,9,2,22.2,0.41,0.09,0,0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1,0.8,2,18,67,4,1,76,1025,38,34,2,1,4,0,0,0,0,6,14,41,1.88,35,0,0,10,1,4,4,0.18,3,0,0,0,0,1,83,26,49,8,39,18,54.2,33,33,23,115,42,0,1337,62,349,779,224,18,1337,4,22.2,10,55.6,663,3337,1447,14,22,1,28,12,757,10
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,26,1997,15.7,Matches,4,0,0,8,9,1,0,11,13,0,0,0,41,42,28,60,1,13,2,15.4,0.83,0.13,0.08,0.5,12.5,0,0,0,0.9,0.9,0.07,0.1,0.1,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,0.2,0.8,1,62,1,0,42,1142,39,23,2,3,4,0,0,0,0,3,3,15,0.96,8,0,0,7,0,1,1,0.06,0,0,0,1,0,0,17,11,6,0,8,6,66.7,4,9,2,28,80,0,1330,175,630,674,27,14,1330,4,66.7,1,16.7,777,3207,1809,5,2,0,4,0,1000,1
5,Simon Adingra,ci CIV,"FW,MF",Brighton,22,2002,12.2,Matches,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6,2,33,8,24.2,2.71,0.66,0.06,0.25,17,0,0,0,2.5,2.5,0.07,-0.5,-0.5,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18,372,9,0,2,0,8,1,0,0,0,1,12,47,3.86,33,0,6,0,0,0,7,0.57,5,0,1,1,0,0,23,10,8,5,10,50,38.5,16,12,12,31,6,2,548,10,66,174,315,76,548,21,42,27,54,366,2514,1300,50,21,27,39,12,388,136
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27,1997,15.7,Matches,3,0,0,7,4,1,2,12,19,0,0,0,83,26,20,56.5,1,7,2,28.6,0.45,0.13,0.14,0.5,27.6,1,0,0,0.8,0.8,0.12,0.2,0.2,855,1001,85.4,17344,6203,276,299,92.3,466,501,93,107,181,59.1,0,0.2,0.3,-0.2,4,40,1,0,31,955,43,28,1,11,0,0,0,0,0,3,5,17,1.09,15,2,0,13,0,0,3,0.19,2,1,0,0,0,0,30,21,9,0,13,13,65,7,19,6,42,90,0,1172,190,649,504,28,7,1172,10,76.9,2,15.4,758,3670,1752,6,4,0,6,4,796,2
7,Asher Agbinone,eng ENG,MF,Crystal Palace,18,2005,0.1,Matches,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,15,0,0,,26.3,0,0,0,0,0,0.02,0,0,2,3,66.7,32,0,1,1,100,1,2,50,0,0,,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,,0,0,0,2,0,0,8,0,0,2,6,0,8,0,0,1,50,5,53,23,2,0,0,0,1,5,1
8,Ola Aina,ng NGA,DF,Nott'ham Forest,27,1996,33.3,Matches,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6,2,11,2,18.2,0.33,0.06,0.18,1,26.1,0,0,0,0.6,0.6,0.06,1.4,1.4,994,1352,73.5,15371,6297,530,598,88.6,374,502,74.5,57,166,34.3,1,1.4,2.2,-0.4,16,85,23,11,107,1071,279,15,0,4,264,0,0,0,0,2,46,62,1.86,49,5,3,12,3,1,4,0.12,3,0,0,0,0,1,55,39,15,1,36,72,56.3,28,34,22,88,115,4,1708,156,613,717,409,22,1708,33,45.8,27,37.5,749,4798,2787,67,46,10,44,22,823,67
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23,2001,34.5,Matches,7,1,1,30,46,6,94,26,57,0,0,0,145,22,30,42.3,4,36,10,27.8,1.04,0.29,0.11,0.4,14.9,0,0,0,2.7,2.7,0.08,1.3,1.3,1449,1721,84.2,19837,5926,897,959,93.5,435,499,87.2,48,118,40.7,7,5.5,4,1.5,46,77,30,10,108,1397,320,44,3,4,246,30,24,1,0,4,42,91,2.63,56,15,8,6,4,1,12,0.35,10,1,0,0,0,1,89,52,28,9,43,137,61.4,27,42,36,115,75,2,2148,96,577,916,685,96,2148,63,46,56,40.9,1129,6166,3205,89,62,28,52,47,1321,176
10,Kristoffer Ajer,no NOR,DF,Brentford,26,1998,16,Matches,5,0,0,13,6,2,14,12,18,0,0,0,42,27,23,54,0,9,3,33.3,0.56,0.19,0,0,9.5,0,0,0,1,1,0.11,-1,-1,504,644,78.3,7868,2831,260,299,87,199,248,80.2,27,54,50,0,1.2,0.5,-1.2,8,44,7,4,56,570,73,2,0,3,71,0,0,0,0,1,18,18,1.13,15,0,1,4,0,0,2,0.13,2,0,0,0,0,0,26,14,11,1,14,16,51.9,13,17,13,38,50,0,795,53,265,368,168,38,795,7,43.8,8,50,387,2098,1180,27,11,2,15,12,491,44
