player_rank,player_name,nationality,position,club,age,birth_year,minutes_played_90s,Matches,yellow_cards,red_cards,second_yellow_cards,fouls_committed,fouls_drawn,offsides,crosses,interceptions_misc,tackles_won_misc,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duel_win_pct,goals,shots_total,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_goals,penalty_attempts,expected_goals,non_penalty_expected_goals,non_penalty_xg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,passes_completed_total,passes_attempted_total,pass_completion_pct_total,total_passing_distance,progressive_passing_distance,passes_completed_short,passes_attempted_short,pass_completion_pct_short,passes_completed_medium,passes_attempted_medium,pass_completion_pct_medium,passes_completed_long,passes_attempted_long,pass_completion_pct_long,assists,expected_assists_goals,expected_assists,assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches_of_play,throw_ins,corner_kicks,corners_in_swinging,corners_out_swinging,straight_corners,offsides_passes,blocked_passes,shot_creating_actions,shot_creating_actions_per_90,sca_live_passes,sca_dead_passes,sca_take_ons,sca_shots,sca_fouls_drawn,sca_defensive_actions,goal_creating_actions,goal_creating_actions_per_90,gca_live_passes,gca_dead_passes,gca_take_ons,gca_shots,gca_fouls_drawn,gca_defensive_actions,tackles_total,tackles_defensive_third,tackles_middle_third,tackles_attacking_third,tackles_attempted,tackles_attempted_total,tackle_success_pct,challenges_lost,blocks_defensive,passes_blocked,tackles_plus_interceptions,clearances,errors_leading_to_shot,touches,touches_defensive_penalty_area,touches_defensive_third,touches_middle_third,touches_attacking_third,touches_attacking_penalty_area,live_ball_touches,successful_take_ons,take_on_success_pct,times_tackled_while_dribbling,tackled_while_dribbling_pct,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,times_dispossessed,ball_receipts,progressive_receives
1,James Abankwah,ie IRL,"DF,MF",Udinese,20,2004,1,Matches,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50,0,1,0,0,1.02,0,0,,15,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0,0,0,0,2,0,0,4,45,1,1,0,0,0,0,0,0,0,0,0,1,1.02,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,66.7,1,2,1,5,3,0,65,8,37,22,7,2,65,0,,0,,29,219,165,3,1,1,1,3,34,1
2,Saud Abdulhamid,sa KSA,DF,Roma,25,1999,2.3,Matches,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0,0,1,0,0,0.44,0,0,,24.7,0,0,0,0,0,0.03,0,0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,0.8,2,4,4,2,9,103,33,1,0,0,32,0,0,0,0,0,3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,3,2,0,1,1,8,100,0,2,2,5,0,0,157,0,27,75,56,7,157,3,37.5,2,25,90,399,175,6,2,2,5,1,108,26
3,Oliver Abildgaard,dk DEN,MF,Como,28,1996,0.1,Matches,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1,100,21,7,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,0,1,1,0,0,2,0,,0,,0,0,0,0,0,0,0,0,0,0
4,Tammy Abraham,eng ENG,FW,Roma,26,1997,0,Matches,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,3,33.3,44,32,0,1,0,0,1,0,1,1,100,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,2,1,4,0,,0,,3,2,1,0,0,0,1,0,4,2
5,Tammy Abraham,eng ENG,FW,Milan,26,1997,13.1,Matches,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,152,221,68.8,1956,534,94,124,75.8,46,74,62.2,3,6,50,4,2.2,1.3,1.8,14,13,10,0,26,203,17,0,5,0,0,0,0,0,0,1,6,33,2.51,28,0,0,0,1,0,9,0.68,7,0,0,1,1,0,17,2,10,5,6,14,75,2,13,13,19,16,0,367,20,46,172,149,57,365,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69
6,Federico Accornero,it ITA,MF,Genoa,20,2004,0.1,Matches,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,4,6,66.7,55,19,2,3,66.7,2,2,100,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,2,3,3,0,8,0,,0,,5,25,18,0,1,0,2,0,5,0
7,Francesco Acerbi,it ITA,DF,Inter,36,1988,19,Matches,0,0,0,11,18,2,10,26,19,0,0,0,62,61,30,67,0,5,1,20,0.26,0.05,0,0,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,1200,1297,92.5,22280,6158,406,434,93.5,697,727,95.9,83,106,78.3,1,0.6,1.4,0.4,9,59,8,5,62,1256,39,24,0,2,8,0,0,0,0,2,5,20,1.05,20,0,0,16,0,0,1,0.05,1,0,0,0,0,0,23,16,7,0,11,4,64.7,6,22,6,49,81,0,1484,139,648,733,108,20,1484,3,75,1,25,915,4177,2128,19,20,1,7,2,1101,22
8,Che Adams,sct SCO,FW,Torino,28,1996,29.5,Matches,2,0,0,29,40,23,10,2,6,0,0,0,50,36,62,36.7,9,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9,8.2,0.13,0,0.8,414,557,74.3,6531,1184,221,283,78.1,134,168,79.8,37,53,69.8,3,2,2.9,1,26,32,7,0,40,513,43,3,4,5,1,0,0,0,0,1,17,63,2.14,49,1,0,6,5,0,5,0.17,4,0,0,1,0,0,12,2,4,6,1,37,14.3,6,13,7,14,18,0,802,19,53,387,371,104,801,11,29.7,22,59.5,509,2066,702,23,18,9,63,34,630,153
9,Yacine Adli,fr FRA,MF,Fiorentina,24,2000,13.7,Matches,3,1,1,9,20,0,63,6,19,0,0,0,77,5,16,23.8,4,14,5,35.7,1.02,0.36,0.29,0.8,21.3,2,0,0,1,1,0.07,3,3,718,890,80.7,14050,4602,299,332,90.1,291,331,87.9,116,193,60.1,6,2.4,2.2,3.6,23,84,16,4,103,795,90,44,3,14,6,39,17,19,0,5,12,50,3.64,35,10,2,1,1,0,10,0.73,6,2,1,1,0,0,32,11,16,5,17,32,43.6,22,13,12,38,19,0,1021,31,177,607,248,11,1021,12,37.5,16,50,618,3613,1680,24,28,3,19,8,690,30
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18,2006,0.5,Matches,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40,0,1,1,100,2.14,2.14,0,0,29.1,0,0,0,0,0,0.03,0,0,15,20,75,255,52,8,10,80,5,6,83.3,2,2,100,0,0,0,0,0,1,1,0,1,20,0,0,0,0,0,0,0,0,0,0,1,2,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,2,0,0,24,0,5,8,11,2,24,0,0,1,100,14,40,10,0,1,0,1,1,20,3
