,23_24_Ridge,23_24_Lasso,23_24_RandomForest,23_24_XGBoost,23_24_KNN,24_25_Ridge,24_25_Lasso,24_25_RandomForest,24_25_XGBoost,24_25_KNN,League_Overall_Average,,,,,
touches,0.037989187,0,0.046637833,0.24677062,0.036818892,0.033243704,0,0.050541507,0.003448288,0.031579441,0.365801965,,,,,
assists,0.051111247,0.272511814,0.041741163,0.008526153,0.036468604,0.048312992,0.292295875,0.056044452,0.30912593,0.032498675,0.076575794,,,,,
goals,0.051694833,0.138874813,0.044638258,0.1993895,0.035284688,0.042132689,0,0.025470607,0.01710317,0.031976031,0.039104306,,,,,
passes_completed_total,0.032116032,0,0.001483996,0,0.036198457,0.033076636,0,0.06140981,0.34429598,0.031417585,0.0359999,,,,,
ball_recoveries,0.095102701,0.132318681,0.021767515,0.001062114,0.034859495,0.040361796,0.152824463,0.010757515,0.00148413,0.038244016,0.035252162,,,,,
fouls_committed,0.031122668,0,0.036308591,0,0.029814454,0.061817862,0.212138845,0.048902658,0.025673095,0.033272137,0.031936687,,,,,
progressive_passes,0.03543046,0,0.036046289,0.1654068,0.036041843,0.042931874,0,0.071916842,0.003292701,0.032566611,0.028242228,,,,,
interceptions_misc,0.08332074,0.191942401,0.025461267,0.02354369,0.031493417,0.002133068,0,0.034776654,0.003256756,0.027223555,0.028210103,,,,,
goal_creating_actions,0.048435108,0,0.030623401,0.07738323,0.035566371,0.047561163,0.053141621,0.097497387,0,0.031718296,0.028128438,,,,,
expected_assists,0.030338093,0,0.052415761,0,0.03502452,0.037629131,0.049918473,0.056896068,0.11433943,0.031140393,0.027180125,,,,,
passes_attempted_total,0.037744678,0.159882142,0.054372369,0,0.03704054,0.033781384,0,0.026974731,0,0.031342615,0.025409231,,,,,
tackles_total,0.061587243,0.062070004,0.005228428,0,0.031423904,0.048397107,0.090490312,0.017428077,0.013719251,0.032286604,0.024175395,,,,,
expected_goals,0.042941049,0,0.036606729,0.046892036,0.035141038,0.035800125,0,0.086086565,0.030186206,0.033197724,0.023123431,,,,,
offsides,0.009635148,0,0.009670389,0.067240946,0.018051414,0.041044663,0.073857103,0.006960721,1.58E-05,0.022158247,0.016575632,,,,,
progressive_passing_distance,0.024458391,0,0.067385991,0.042502865,0.03213129,0.018171807,0,0.024658724,0,0.030927419,0.016015766,,,,,
aerial_duels_lost,0.009415128,0,0.054135733,0.023306165,0.028409577,0.032523095,0,0.038498849,0.011397479,0.035021462,0.015513833,,,,,
progressive_carry_distance,0.02066047,0,0.050378534,0.004500117,0.034648203,0.031240886,0,0.054365704,0,0.030890222,0.015112276,,,,,
aerial_duels_won,0.004159997,0,0.065688044,0.009943311,0.022552343,0.028380383,0,0.056324026,4.58E-05,0.030565832,0.014510648,,,,,
yellow_cards,0.039534479,0,0.048666234,0.023311025,0.026449243,0.026380159,0,0.007319701,0.004197981,0.027877156,0.013582398,,,,,
shots_total,0.001953045,0,0.000926584,0,0.034327015,0.025790861,0,0.02851155,0.07712206,0.033218131,0.013456616,,,,,
shots_on_target,0.042396236,0,0.029799319,0.009155458,0.036819607,0.021955296,0,0.012067568,0.013437925,0.032742924,0.013224956,,,,,
progressive_carries,0.020733466,0,0.020490604,0.032966044,0.034648852,0.032064285,0,0.00908736,0.009341873,0.034072994,0.012893699,,,,,
miscontrols,0.064071113,0.042400146,0.003012506,0.006942897,0.019283472,0.018789919,0,0.00067197,0.000970842,0.027162394,0.012220351,,,,,
blocks_defensive,0.026680646,0,0.023384196,0,0.029717436,0.030203484,0.015294477,0.008795893,5.66E-05,0.028892822,0.010868369,,,,,
times_dispossessed,0.000505564,0,0.059379579,0,0.032204781,0.018034516,0,0.019113625,0.00776211,0.024628519,0.010775246,,,,,
fouls_drawn,0.008535992,0,0.004107759,0,0.019619702,0.032428468,0.060038832,0.011211481,8.94E-05,0.025223157,0.010750318,,,,,
successful_take_ons,0.000606443,0,0.070364403,0,0.031373297,0.024519484,0,0.00160998,0,0.031364516,0.010655875,,,,,
clearances,0.029802749,0,0.006376308,0,0.035322207,0.02730137,0,0.024896384,0.001224707,0.034439492,0.010624214,,,,,
key_passes,0.006983197,0,0.033806475,0,0.033586906,0.024552291,0,0.01704838,0,0.034983328,0.010064038,,,,,
passes_blocked,0.011822255,0,0.014043709,0.011157045,0.01858619,0.025900418,0,0.018736597,0,0.027381818,0.008508535,,,,,
red_cards,0.038198791,0,0.001655628,0,0.026912506,0.008708383,0,0.002540224,0.008412546,0.037377914,0.008253733,,,,,
shot_creating_actions,0.000912848,0,0.003396407,0,0.034179739,0.024830704,0,0.012878392,0,0.03260797,0.007253737,,,,,
