,23_24_Ridge,23_24_Lasso,23_24_RandomForest,23_24_XGBoost,23_24_KNN,24_25_Ridge,24_25_Lasso,24_25_RandomForest,24_25_XGBoost,24_25_KNN,League_Overall_Average,,,,,
touches,0.029635889,0,0.020331216,0,0.034038507,0.013992892,0,0.004803041,0,0.026980524,0.341985471,,,,,
goal_creating_actions,0.043247251,0,0.004680283,0,0.023628626,0.069729296,0.575691127,0.073303225,0,0.033198579,0.054898559,,,,,
expected_assists,0.003054593,0.101755599,0.114570636,0.42006844,0.026861333,0.042209954,0,0.047548217,0.012124488,0.023746489,0.052795984,,,,,
progressive_carries,0.042253091,0,0.122531824,0.38332945,0.027773142,0.038994259,0,0.022763173,1.93E-05,0.023597925,0.044084142,,,,,
ball_recoveries,0.046805578,0.020840111,0.02362152,0,0.037338078,0.051426237,0.22345569,0.028739262,0.124009505,0.048994887,0.040348724,,,,,
goals,0.05686119,0.171042618,0.016908761,0.01193091,0.024258664,0.067886014,0,0.120081315,0.05836109,0.031351103,0.037245444,,,,,
shot_creating_actions,0.012556463,0,0.006409234,0,0.026532688,0.0471664,0,0.07529201,0.30266657,0.039092832,0.03398108,,,,,
successful_take_ons,0.03630386,0.082843206,0.112014756,0.06671227,0.027569147,0.013851255,0,0.032163609,0.06187201,0.026558848,0.030659264,,,,,
yellow_cards,0.046927964,0.08394837,0.005816938,0.000950523,0.029802532,0.06654722,0.073763025,0.056231365,0.015496879,0.040358898,0.027989581,,,,,
progressive_passes,0.04701819,0.127736592,0.109430219,0.016751846,0.036215797,0.030315282,0,0.018734043,0,0.03316325,0.027957681,,,,,
expected_goals,0.033165087,0,0.010920111,0.001256833,0.026712289,0.057169029,0,0.148058474,0.11035617,0.029346753,0.027798983,,,,,
shots_total,0.024686433,0.009722435,0.002081536,0.008299774,0.028579222,0.044563423,0,0.057106739,0.09900523,0.041503021,0.021036521,,,,,
assists,0.038491252,0,0.02213348,0,0.025042528,0.063875473,0,0.060202716,0.051074762,0.037019541,0.019855983,,,,,
clearances,0.060619648,0.013058494,0.089665375,0,0.05194304,0.037166523,0.01069588,0.009512688,0.001471788,0.019482545,0.019574399,,,,,
shots_on_target,0.043359408,0.081136223,0.036116854,0.002626042,0.026889483,0.036034913,0,0.029197327,0,0.036280784,0.019442736,,,,,
fouls_drawn,0.024766853,0.000408298,0.011802514,0.026246397,0.033441884,0.029024306,0,0.008108694,0.10432952,0.035792189,0.018261377,,,,,
aerial_duels_lost,0.029355832,0.128211065,0.001158782,0.019585697,0.032779045,0.007791548,0,0.01377371,0,0.02132698,0.016932177,,,,,
offsides,0.006673395,0,0.003547329,0.002241154,0.034643037,0.038289286,0.113412678,0.019815968,7.04E-05,0.032803933,0.016766479,,,,,
times_dispossessed,0.054351065,0.048680165,0.000723759,0.000747973,0.039873252,0.028055198,0,0.025280445,0.000204502,0.047996451,0.016394187,,,,,
blocks_defensive,0.043752068,0.091792751,0.001767393,0,0.027128159,0.017702691,0,0.019440382,0.000215131,0.02878201,0.015372039,,,,,
key_passes,0.016587568,0,0.040887908,0,0.03018007,0.043781746,0,0.048262807,0,0.041217551,0.014727843,,,,,
miscontrols,0.058926855,0.032381639,0.000182451,0.004373562,0.025637708,0.01924326,0,0.01096598,0.005693486,0.036502736,0.012927178,,,,,
fouls_committed,0.013006161,0,0.042144453,0,0.034176321,0.004271094,0,0.014832891,0.039963137,0.025162176,0.011570416,,,,,
progressive_passing_distance,0.020740734,0.002586017,0.049200184,0.000389093,0.035694856,0.011085689,0,0.018471983,0,0.026910073,0.011005242,,,,,
red_cards,0.013570491,0.001819486,0.028729588,0,0.035692289,0.036635504,0.002981601,0.000793275,8.99E-05,0.039097194,0.010627288,,,,,
passes_attempted_total,0.031796827,0,0.037891104,0,0.033591184,0.017122129,0,0.013136701,0,0.025160972,0.010579928,,,,,
passes_completed_total,0.028762089,0,0.018023831,0.014889835,0.032757606,0.016636113,0,0.003620759,0,0.023064977,0.009183681,,,,,
aerial_duels_won,0.007136766,0,0.025606401,0.009771104,0.030966096,0.026577213,0,0.003985439,0.000119768,0.019724139,0.008259128,,,,,
tackles_total,0.024881942,0.002036929,0.001136827,0.005847484,0.02479206,0.014388738,0,0.004315746,0.012465226,0.032072133,0.008129139,,,,,
progressive_carry_distance,0.036318289,0,0.010426418,0,0.030224045,0.005663528,0,0.001898337,0,0.021817625,0.007089883,,,,,
interceptions_misc,0.012281999,0,0.022413797,0.003981646,0.030435795,0.000859803,0,0.003406191,0.000391176,0.027393753,0.006744277,,,,,
passes_blocked,0.012105166,0,0.007124519,0,0.034801521,0.001943987,0,0.006153487,0,0.024499127,0.005775187,,,,,
