,Ridge_Average_LaLiga,Lasso_Average_LaLiga,RandomForest_Average_LaLiga,XGBoost_Average_LaLiga,KNN_Average_LaLiga
touches,0.021814391,0,0.012567129,0,0.030509515
goal_creating_actions,0.056488274,0.287845563,0.038991754,0,0.028413602
expected_assists,0.022632274,0.0508778,0.081059427,0.216096464,0.025303911
progressive_carries,0.040623675,0,0.072647499,0.19167436,0.025685533
ball_recoveries,0.049115907,0.1221479,0.026180391,0.062004753,0.043166482
goals,0.062373602,0.085521309,0.068495038,0.035146,0.027804883
shot_creating_actions,0.029861431,0,0.040850622,0.151333285,0.03281276
successful_take_ons,0.025077557,0.041421603,0.072089182,0.06429214,0.027063997
yellow_cards,0.056737592,0.078855698,0.031024152,0.008223701,0.035080715
progressive_passes,0.038666736,0.063868296,0.064082131,0.008375923,0.034689524
expected_goals,0.045167058,0,0.079489292,0.055806501,0.028029521
shots_total,0.034624928,0.004861217,0.029594137,0.053652502,0.035041121
assists,0.051183362,0,0.041168098,0.025537381,0.031031035
clearances,0.048893085,0.011877187,0.049589031,0.000735894,0.035712793
shots_on_target,0.03969716,0.040568112,0.032657091,0.001313021,0.031585134
fouls_drawn,0.02689558,0.000204149,0.009955604,0.065287959,0.034617037
aerial_duels_lost,0.01857369,0.064105533,0.007466246,0.009792849,0.027053012
offsides,0.022481341,0.056706339,0.011681649,0.001155782,0.033723485
times_dispossessed,0.041203132,0.024340083,0.013002102,0.000476238,0.043934852
blocks_defensive,0.030727379,0.045896376,0.010603887,0.000107565,0.027955085
key_passes,0.030184657,0,0.044575357,0,0.035698811
miscontrols,0.039085057,0.01619082,0.005574215,0.005033524,0.031070222
fouls_committed,0.008638628,0,0.028488672,0.019981569,0.029669248
progressive_passing_distance,0.015913212,0.001293009,0.033836084,0.000194546,0.031302464
red_cards,0.025102997,0.002400544,0.014761431,4.49E-05,0.037394742
passes_attempted_total,0.024459478,0,0.025513902,0,0.029376078
passes_completed_total,0.022699101,0,0.010822295,0.007444918,0.027911291
aerial_duels_won,0.01685699,0,0.01479592,0.004945436,0.025345117
tackles_total,0.01963534,0.001018465,0.002726287,0.009156355,0.028432096
progressive_carry_distance,0.020990908,0,0.006162377,0,0.026020835
interceptions_misc,0.006570901,0,0.012909994,0.002186411,0.028914774
passes_blocked,0.007024576,0,0.006639003,0,0.029650324
