,Ridge_Average_PremLeague,Lasso_Average_PremLeague,RandomForest_Average_PremLeague,XGBoost_Average_PremLeague,KNN_Average_PremLeague
touches,0.019369844,0.018430433,0.003510544,0.002238069,0.025886635
goals,0.067888036,0.154784017,0.174372802,0.128986557,0.036738084
expected_assists,0.05446663,0.123864554,0.146483373,0.16807388,0.033703919
shots_on_target,0.040308165,0,0.104645439,0.242509685,0.028511761
goal_creating_actions,0.066843527,0.240499812,0.05982467,0.000949656,0.032807183
assists,0.057623551,0,0.088370472,0.119036586,0.031647663
shots_total,0.052446283,0.165055335,0.020196839,0.004971325,0.038043782
times_dispossessed,0.052148413,0.071576264,0.022922244,0.009678071,0.038723129
offsides,0.047661199,0.069838306,0.004709894,0.023872635,0.043861214
blocks_defensive,0.055698516,0.073663416,0.006011709,0.005309241,0.032961774
expected_goals,0.05162951,0,0.061886947,0.020683487,0.031750957
ball_recoveries,0.023433786,0,0.012360155,0.071718767,0.03308785
progressive_carries,0.010683594,0,0.01125602,0.086668979,0.029184043
key_passes,0.039792378,0,0.049776709,0.007021618,0.037152263
shot_creating_actions,0.049951693,0.018990884,0.026225976,0,0.038411712
aerial_duels_lost,0.020397226,0.020174673,0.012381395,0.026053462,0.027152577
clearances,0.019390736,0,0.014825896,0.038537725,0.028677253
progressive_passes,0.025463996,0,0.041347692,0.000252515,0.032894053
aerial_duels_won,0.027045116,0.022389883,0.016399944,0.00414616,0.023454716
fouls_drawn,0.027990553,0.018542057,0.007868842,0.007885538,0.03035467
interceptions_misc,0.026464924,0,0.011555746,3.37E-05,0.034206913
fouls_committed,0.017586829,0.002190367,0.015893772,0.010685038,0.0240323
red_cards,0.023608148,0,0.003565862,0.001105978,0.034822482
tackles_total,0.013926427,0,0.009868141,0.010554253,0.027738555
successful_take_ons,0.022840146,0,0.005113542,0.001230665,0.028177132
progressive_passing_distance,0.002754868,0,0.023832512,0,0.029525795
passes_completed_total,0.019382187,0,0.009485241,0.000198231,0.026239665
miscontrols,0.017838963,0,0.003028824,0.002183232,0.030858812
progressive_carry_distance,0.011551827,0,0.010719479,0.003191773,0.026813132
passes_attempted_total,0.018233048,0,0.004348292,0,0.026212914
passes_blocked,0.011816515,0,0.007733358,2.13E-05,0.028093789
yellow_cards,0.003763364,0,0.009477668,0.002201928,0.028273269
