,23_24_Ridge,23_24_Lasso,23_24_RandomForest,23_24_XGBoost,23_24_KNN,24_25_Ridge,24_25_Lasso,24_25_RandomForest,24_25_XGBoost,24_25_KNN,League_Overall_Average,,Ridge_Average_SerieA,Lasso_Average_SerieA,RandomForest_Average_SerieA,XGBoost_Average_SerieA,KNN_Average_SerieA
touches,0.023054528,0,0.032224558,0.000705321,0.032707378,0.041929464,0.01469433,0.048620758,0.011091841,0.024334791,0.348624198,,0.032491996,0.007347165,0.040422658,0.005898581,0.028521085
goals,0.056212564,0.168230923,0.076848193,0.027994247,0.035035741,0.057940379,0.204989101,0.121391618,0.5918491,0.036049398,0.091769417,,0.057076471,0.186610012,0.099119905,0.309921674,0.03554257
progressive_passes,0.010251847,0,0.219377754,0.64297265,0.030680052,0.041284982,0,0.048397715,0.060744815,0.02781468,0.072101633,,0.025768414,0,0.133887734,0.351858733,0.029247366
aerial_duels_lost,0.091374039,0.305424037,0.081339122,0.029182114,0.032176539,0.028045426,0,0.011174209,0.000181459,0.030749371,0.040643088,,0.059709733,0.152712019,0.046256665,0.014681787,0.031462955
expected_assists,0.06365055,0.246808896,0.108266865,0.01296743,0.035922217,0.034879468,0,0.063151551,0.000188339,0.032358793,0.039879607,,0.049265009,0.123404448,0.085709208,0.006577884,0.034140505
shots_on_target,0.002303805,0,0.006827549,0,0.033825804,0.048396733,0.390000683,0.023106557,0.016553506,0.036028684,0.037136221,,0.025350269,0.195000341,0.014967053,0.008276753,0.034927244
expected_goals,0.061253342,0,0.053583649,0.011813138,0.039301052,0.039770721,0,0.150868903,0.059564106,0.034491333,0.030043083,,0.050512032,0,0.102226276,0.035688622,0.036896193
red_cards,0.052846603,0.064127824,0.000477969,0,0.030526945,0.050658249,0.125169504,0.004660932,0.011349611,0.029448635,0.024617751,,0.051752426,0.094648664,0.00256945,0.005674806,0.02998779
yellow_cards,0.031550076,0,0.018945781,0.008188437,0.033726449,0.055149748,0.154154181,0.01579257,0.013620984,0.037241846,0.024558005,,0.043349912,0.077077091,0.017369176,0.010904711,0.035484147
progressive_passing_distance,0.034590079,0.017734734,0.079055529,0,0.033205143,0.035997897,0,0.067707056,0.025180679,0.026504223,0.021331689,,0.035293988,0.008867367,0.073381292,0.01259034,0.029854683
goal_creating_actions,0.051672842,0,0.005625075,0.000453685,0.031652085,0.055212001,0,0.133368785,0.003856538,0.034009273,0.021056686,,0.053442422,0,0.06949693,0.002155111,0.032830679
fouls_drawn,0.048830806,0,0.021351035,0.11751872,0.024060405,0.000283788,0,0.006069976,0.053140454,0.03997923,0.020748961,,0.024557297,0,0.013710506,0.085329587,0.032019817
fouls_committed,0.062517266,0.103255848,0.006484261,0,0.026693846,0.028715903,0,0.018446994,0.000515571,0.033660513,0.018686013,,0.045616585,0.051627924,0.012465627,0.000257785,0.030177179
assists,0.036627609,0,0.060220568,0.002741104,0.030767706,0.049547303,0,0.040616619,0.014331658,0.032785367,0.017842529,,0.043087456,0,0.050418593,0.008536381,0.031776537
clearances,0.022853006,0.085082368,0.035278032,0.015390006,0.031967352,0.019975499,0,0.025592533,0,0.025887924,0.017468448,,0.021414253,0.042541184,0.030435283,0.007695003,0.028927638
times_dispossessed,0.041298295,0.009335369,0.001566234,0.033809084,0.030738731,0.021146145,0.017288405,0.00164437,0.050471205,0.038553637,0.016390098,,0.03122222,0.013311887,0.001605302,0.042140145,0.034646184
blocks_defensive,0.021130901,0,0.006555547,0.039456706,0.033108239,0.028236599,0.053969048,0.001621286,0.019360064,0.031252286,0.015646045,,0.02468375,0.026984524,0.004088416,0.029408385,0.032180262
progressive_carry_distance,0.052212729,0,0.021337227,0.002867274,0.029197616,0.021603331,0,0.039121899,0,0.028505136,0.012989681,,0.03690803,0,0.030229563,0.001433637,0.028851376
shots_total,0.003496873,0,0.01729443,0.023839533,0.03251615,0.04265862,0,0.016843215,0.013896439,0.034784187,0.012355296,,0.023077747,0,0.017068822,0.018867986,0.033650168
passes_attempted_total,0.022523144,0,0.019831544,0,0.032531726,0.040297352,0,0.040052168,0,0.022594757,0.011855379,,0.031410248,0,0.029941856,0,0.027563242
passes_completed_total,0.026294415,0,0.022000767,0,0.032216949,0.038637837,0,0.013670141,0.021801095,0.022866974,0.011832545,,0.032466126,0,0.017835454,0.010900548,0.027541962
shot_creating_actions,0.007537118,0,0.02023766,0,0.034377234,0.039791968,0,0.038118605,0,0.034622859,0.011645696,,0.023664543,0,0.029178132,0,0.034500047
tackles_total,0.048303157,0,0.023656426,0.018256642,0.025843514,0.009176173,0,0.000896682,0.001109517,0.035083825,0.010821729,,0.028739665,0,0.012276554,0.00968308,0.03046367
progressive_carries,0.023172161,0,0.005103637,0.004550232,0.030156265,0.030844161,0,0.032319354,0.000505803,0.031071899,0.010514901,,0.027008161,0,0.018711495,0.002528017,0.030614082
key_passes,0.012836742,0,0.011346341,0,0.031618104,0.042970649,0,0.021336856,0,0.032787134,0.010193055,,0.027903695,0,0.016341598,0,0.032202619
miscontrols,5.98E-05,0,0.004700111,0,0.030196919,0.023615266,0.039734748,0.00214404,0.006324321,0.029202424,0.009065176,,0.011837539,0.019867374,0.003422076,0.003162161,0.029699671
offsides,0.04037764,0,0.012851312,0,0.027023183,0.024946949,0,0.000833952,0,0.026674224,0.008847151,,0.032662295,0,0.006842632,0,0.026848704
successful_take_ons,0.007391372,0,0.012697462,0.004131858,0.036674727,0.000365317,0,0.001586618,0.019994587,0.037341097,0.008012202,,0.003878344,0,0.00714204,0.012063223,0.037007912
interceptions_misc,0.028172425,0,0.0017098,0.003161799,0.029244532,0.014653827,0,0.001599021,0,0.033602392,0.007476253,,0.021413126,0,0.001654411,0.0015809,0.031423462
ball_recoveries,0.004286044,0,0.010935883,0,0.024767291,0.023442227,0,0.002466444,0.000625403,0.024372925,0.006059748,,0.013864136,0,0.006701164,0.000312701,0.024570108
passes_blocked,0.010377372,0,0.00149188,0,0.032682896,0.000426366,0,0.003880016,0.00065473,0.028325661,0.005189261,,0.005401869,0,0.002685948,0.000327365,0.030504279
aerial_duels_won,0.000940835,0,0.000777797,0,0.024857209,0.009399651,0,0.00289856,0.0030882,0.027014523,0.004598452,,0.005170243,0,0.001838179,0.0015441,0.025935866
