,Ridge_Average_SerieA,Lasso_Average_SerieA,RandomForest_Average_SerieA,XGBoost_Average_SerieA,KNN_Average_SerieA
touches,0.032491996,0.007347165,0.040422658,0.005898581,0.028521085
goals,0.057076471,0.186610012,0.099119905,0.309921674,0.03554257
progressive_passes,0.025768414,0,0.133887734,0.351858733,0.029247366
aerial_duels_lost,0.059709733,0.152712019,0.046256665,0.014681787,0.031462955
expected_assists,0.049265009,0.123404448,0.085709208,0.006577884,0.034140505
shots_on_target,0.025350269,0.195000341,0.014967053,0.008276753,0.034927244
expected_goals,0.050512032,0,0.102226276,0.035688622,0.036896193
red_cards,0.051752426,0.094648664,0.00256945,0.005674806,0.02998779
yellow_cards,0.043349912,0.077077091,0.017369176,0.010904711,0.035484147
progressive_passing_distance,0.035293988,0.008867367,0.073381292,0.01259034,0.029854683
goal_creating_actions,0.053442422,0,0.06949693,0.002155111,0.032830679
fouls_drawn,0.024557297,0,0.013710506,0.085329587,0.032019817
fouls_committed,0.045616585,0.051627924,0.012465627,0.000257785,0.030177179
assists,0.043087456,0,0.050418593,0.008536381,0.031776537
clearances,0.021414253,0.042541184,0.030435283,0.007695003,0.028927638
times_dispossessed,0.03122222,0.013311887,0.001605302,0.042140145,0.034646184
blocks_defensive,0.02468375,0.026984524,0.004088416,0.029408385,0.032180262
progressive_carry_distance,0.03690803,0,0.030229563,0.001433637,0.028851376
shots_total,0.023077747,0,0.017068822,0.018867986,0.033650168
passes_attempted_total,0.031410248,0,0.029941856,0,0.027563242
passes_completed_total,0.032466126,0,0.017835454,0.010900548,0.027541962
shot_creating_actions,0.023664543,0,0.029178132,0,0.034500047
tackles_total,0.028739665,0,0.012276554,0.00968308,0.03046367
progressive_carries,0.027008161,0,0.018711495,0.002528017,0.030614082
key_passes,0.027903695,0,0.016341598,0,0.032202619
miscontrols,0.011837539,0.019867374,0.003422076,0.003162161,0.029699671
offsides,0.032662295,0,0.006842632,0,0.026848704
successful_take_ons,0.003878344,0,0.00714204,0.012063223,0.037007912
interceptions_misc,0.021413126,0,0.001654411,0.0015809,0.031423462
ball_recoveries,0.013864136,0,0.006701164,0.000312701,0.024570108
passes_blocked,0.005401869,0,0.002685948,0.000327365,0.030504279
aerial_duels_won,0.005170243,0,0.001838179,0.0015441,0.025935866
